Year,Week,RSV_hosp_ICU_per_100_000,date
2017,40,0.76,08/10/2017
2017,41,0.66,15/10/2017
2017,42,0.91,22/10/2017
2017,43,1.33,29/10/2017
2017,44,1.82,05/11/2017
2017,45,3,12/11/2017
2017,46,4.01,19/11/2017
2017,47,4.06,26/11/2017
2017,48,3.39,03/12/2017
2017,49,3.86,10/12/2017
2017,50,3.12,17/12/2017
2017,51,2.68,24/12/2017
2017,52,2.49,31/12/2017
2018,1,2.14,07/01/2018
2018,2,1.8,14/01/2018
2018,3,1.29,21/01/2018
2018,4,0.97,28/01/2018
2018,5,0.74,04/02/2018
2018,6,0.74,11/02/2018
2018,7,0.54,18/02/2018
2018,8,0.77,25/02/2018
2018,9,0.48,04/03/2018
2018,10,0.7,11/03/2018
2018,11,0.3,18/03/2018
2018,12,0.45,25/03/2018
2018,13,0.38,01/04/2018
2018,14,0.36,08/04/2018
2018,15,0.34,15/04/2018
2018,16,0.23,22/04/2018
2018,17,0.14,29/04/2018
2018,18,0.23,06/05/2018
2018,19,0.14,13/05/2018
2018,20,0.46,20/05/2018
2018,40,0.31,07/10/2018
2018,41,0.57,14/10/2018
2018,42,0.72,21/10/2018
2018,43,1.7,28/10/2018
2018,44,2.38,04/11/2018
2018,45,2.14,11/11/2018
2018,46,3.19,18/11/2018
2018,47,4.39,25/11/2018
2018,48,4.67,02/12/2018
2018,49,3.49,09/12/2018
2018,50,2.41,16/12/2018
2018,51,2.38,23/12/2018
2018,52,1.65,30/12/2018
2019,1,2.48,06/01/2019
2019,2,2.14,13/01/2019
2019,3,1.29,20/01/2019
2019,4,1.26,27/01/2019
2019,5,0.61,03/02/2019
2019,6,0.53,10/02/2019
2019,7,0.62,17/02/2019
2019,8,0.39,24/02/2019
2019,9,0.28,03/03/2019
2019,10,0.22,10/03/2019
2019,11,0.21,17/03/2019
2019,12,0.28,24/03/2019
2019,13,0.22,31/03/2019
2019,14,0.15,07/04/2019
2019,15,0.14,14/04/2019
2019,16,0,21/04/2019
2019,17,0.2,28/04/2019
2019,18,0.22,05/05/2019
2019,19,0.28,12/05/2019
2019,20,0.15,19/05/2019
2019,40,0.44,06/10/2019
2019,41,0.56,13/10/2019
2019,42,0.96,20/10/2019
2019,43,1.29,27/10/2019
2019,44,1.42,03/11/2019
2019,45,1.99,10/11/2019
2019,46,2.53,17/11/2019
2019,47,3.8,24/11/2019
2019,48,3.63,01/12/2019
2019,49,4.71,08/12/2019
2019,50,4.94,15/12/2019
2019,51,5.28,22/12/2019
2019,52,4.21,29/12/2019
2020,1,4.08,05/01/2020
2020,2,2.7,12/01/2020
2020,3,2.1,19/01/2020
2020,4,1.28,26/01/2020
2020,5,1.12,02/02/2020
2020,6,1.13,09/02/2020
2020,7,0.45,16/02/2020
2020,8,0.27,23/02/2020
2020,9,0.3,01/03/2020
2020,10,0.25,08/03/2020
2020,11,0.14,15/03/2020
2020,12,0.18,22/03/2020
2020,13,0.17,29/03/2020
2020,14,0,05/04/2020
2020,15,0,12/04/2020
2020,16,0,19/04/2020
2020,17,0,26/04/2020
2020,18,0,03/05/2020
2020,19,0,10/05/2020
2020,20,0,17/05/2020
2020,40,0,04/10/2020
2020,41,0,11/10/2020
2020,42,0,18/10/2020
2020,43,0,25/10/2020
2020,44,0.01,01/11/2020
2020,45,0,08/11/2020
2020,46,0,15/11/2020
2020,47,0.04,22/11/2020
2020,48,0.01,29/11/2020
2020,49,0,06/12/2020
2020,50,0,13/12/2020
2020,51,0.03,20/12/2020
2020,52,0.01,27/12/2020
2021,1,0,10/01/2021
2021,2,0.01,17/01/2021
2021,3,0,24/01/2021
2021,4,0,31/01/2021
2021,5,0,07/02/2021
2021,6,0.04,14/02/2021
2021,7,0,21/02/2021
2021,8,0.02,28/02/2021
2021,9,0.01,07/03/2021
2021,10,0,14/03/2021
2021,11,0.02,21/03/2021
2021,12,0.02,28/03/2021
2021,13,0.03,04/04/2021
2021,14,0.01,11/04/2021
2021,15,0.04,18/04/2021
2021,16,0.01,25/04/2021
2021,17,0.02,02/05/2021
2021,18,0.03,09/05/2021
2021,19,0.02,16/05/2021
2021,20,0.07,23/05/2021
2021,21,0.21,30/05/2021
2021,22,0.29,06/06/2021
2021,23,0.28,13/06/2021
2021,24,0.53,20/06/2021
2021,25,0.62,27/06/2021
2021,26,0.87,04/07/2021
2021,27,1.53,11/07/2021
2021,28,1.53,18/07/2021
2021,29,2.25,25/07/2021
2021,30,2.25,01/08/2021
2021,31,2.46,08/08/2021
2021,32,2.35,15/08/2021
2021,33,1.34,22/08/2021
2021,34,1.87,29/08/2021
2021,35,1.98,05/09/2021
2021,36,1.72,12/09/2021
2021,37,1.72,19/09/2021
2021,38,1.43,26/09/2021
2021,39,1.48,03/10/2021
2021,40,1.48,10/10/2021
2021,41,1.56,17/10/2021
2021,42,1.43,24/10/2021
2021,43,1.22,31/10/2021
2021,44,1.22,07/11/2021
2021,45,0.99,14/11/2021
2021,46,0.9,21/11/2021
2021,47,0.93,28/11/2021
2021,48,0.65,05/12/2021
2021,49,0.92,12/12/2021
2021,50,0.55,19/12/2021
2021,51,0.62,26/12/2021
2021,52,0.61,02/01/2022
2022,1,0.45,09/01/2022
2022,2,0.28,16/01/2022
2022,3,0.29,23/01/2022
2022,4,0.27,30/01/2022
2022,5,0.29,06/02/2022
2022,6,0.32,13/02/2022
2022,7,0.24,20/02/2022
2022,8,0.14,27/02/2022
2022,9,0.2,06/03/2022
2022,10,0.26,13/03/2022
2022,11,0.29,20/03/2022
2022,12,0.21,27/03/2022
2022,13,0.39,03/04/2022
2022,14,0.31,10/04/2022
2022,15,0.43,17/04/2022
2022,16,0.31,24/04/2022
2022,17,0.23,01/05/2022
2022,18,0.38,08/05/2022
2022,19,0.38,15/05/2022